Date_Format	Old_Date_Str	New_Date_Str
HHMM	"2025-04-10"	08:00PM"
S_DDMMyyHHMMA	NULL_STR	"09:00"
NULL_FORMAT	"invalid-old"	"10/03/25
HHMM	"18-Apr-2025"	NULL_STR
D_YYYYMMDD	"15:30"	"invalid-new"
S_DDMMyyHHMMA	10:00AM"	"10/03/25
D_DDMMYYYY_N	"15:30"	"10/03/25
S_DDMMyyHHMMA	"invalid-old"	NULL_STR
NULL_FORMAT	"15:30"	"09:00"
S_DDMMyyHHMMA	"15:30"	08:00PM"
D_DDMMYYYY_N	"14/04/25	NULL_STR
HHMM	"14/04/25	"invalid-new"
NULL_FORMAT	10:00AM"	"invalid-new"
D_DDMMYYYY_N	"invalid-old"	"invalid-new"
HHMM	"15:30"	"20-May-2025"
S_DDMMyyHHMMA	"18-Apr-2025"	"2025-04-14"
D_DDMMYYYY_N	10:00AM"	"20-May-2025"
D_DDMMYYYY_N	NULL_STR	08:00PM"
D_YYYYMMDD	"18-Apr-2025"	"10/03/25
HHMM	"invalid-old"	"09:00"
D_YYYYMMDD	NULL_STR	NULL_STR
D_YYYYMMDD	"invalid-old"	08:00PM"
NULL_FORMAT	"2025-04-10"	NULL_STR
NULL_FORMAT	10:00AM"	08:00PM"
HHMM	NULL_STR	"10/03/25
D_YYYYMMDD	10:00AM"	"09:00"
HHMM	10:00AM"	"2025-04-14"
NULL_FORMAT	NULL_STR	"2025-04-14"
D_DDMMYYYY_N	"2025-04-10"	"09:00"
D_YYYYMMDD	"invalid-old"	"20-May-2025"
S_DDMMyyHHMMA	NULL_STR	"20-May-2025"
HHMM	10:00AM"	NULL_STR
D_YYYYMMDD	"14/04/25	"10/03/25
D_YYYYMMDD	"2025-04-10"	"2025-04-14"
NULL_FORMAT	"18-Apr-2025"	08:00PM"
S_DDMMyyHHMMA	"2025-04-10"	"10/03/25
S_DDMMyyHHMMA	"15:30"	NULL_STR
D_DDMMYYYY_N	"18-Apr-2025"	"09:00"
NULL_FORMAT	"18-Apr-2025"	"20-May-2025"
HHMM	"2025-04-10"	"20-May-2025"
S_DDMMyyHHMMA	"2025-04-10"	"invalid-new"
S_DDMMyyHHMMA	"14/04/25	"09:00"
S_DDMMyyHHMMA	"18-Apr-2025"	"invalid-new"
D_DDMMYYYY_N	"14/04/25	"2025-04-14"
D_YYYYMMDD	"invalid-old"	"2025-04-14"
NULL_FORMAT	"14/04/25	08:00PM"
D_YYYYMMDD	"15:30"	"2025-04-14"
HHMM	"14/04/25	"20-May-2025"
D_DDMMYYYY_N	NULL_STR	"invalid-new"
